Sensor Log File flight-s1 flight-s1-7@a.com 104 Hz plugin 300075 base 200600,,,,,,,,,
RECORD,TYPE,DATE,TIME,arx, ary, arz, grx, gry, grz
1657,1,11/17/15,18:52:03,-0.027977,-0.094408,0.034512,0.053824,-0.222753,-0.000039
1658,1,11/17/15,18:52:03,-0.027657,-0.079685,-0.047026,0.056699,-0.221295,-0.010366
1659,1,11/17/15,18:52:03,-0.055273,-0.080013,-0.080289,0.05442,-0.221743,-0.014839
1660,1,11/17/15,18:52:03,-0.063202,-0.104833,-0.099057,0.051681,-0.217293,-0.012947
1661,1,11/17/15,18:52:03,-0.068772,-0.126238,-0.098999,0.054897,-0.212556,-0.013861
1662,1,11/17/15,18:52:03,-0.068159,-0.107802,-0.082661,0.057282,-0.206191,-0.017817
1663,1,11/17/15,18:52:03,-0.080278,-0.082651,-0.060909,0.06265,-0.196766,-0.018927
1664,1,11/17/15,18:52:03,-0.100989,-0.044361,-0.026698,0.064502,-0.189681,-0.017989
1665,1,11/17/15,18:52:03,-0.093287,0.008754,-0.028828,0.063726,-0.183805,-0.019056
1666,1,11/17/15,18:52:03,-0.129595,0.018356,-0.038672,0.063534,-0.177371,-0.013573
1667,1,11/17/15,18:52:03,-0.134188,0.046164,-0.083142,0.063176,-0.170017,-0.012645
1668,1,11/17/15,18:52:03,-0.140353,0.063437,-0.083692,0.06164,-0.166182,-0.008404
1669,1,11/17/15,18:52:03,-0.177355,0.097946,-0.074821,0.058958,-0.162543,-0.007992
1670,1,11/17/15,18:52:03,-0.163126,0.111218,-0.087831,0.055287,-0.158627,-0.001529
1671,1,11/17/15,18:52:03,-0.164452,0.132562,-0.099247,0.050192,-0.15753,-0.001252
1672,1,11/17/15,18:52:03,-0.142078,0.125997,-0.05943,0.043948,-0.155269,0.003838
1673,1,11/17/15,18:52:03,-0.108371,0.124576,-0.058996,0.042686,-0.149114,0.005008
1674,1,11/17/15,18:52:03,-0.083087,0.124891,-0.071564,0.041581,-0.149169,0.005502
1675,1,11/17/15,18:52:03,-0.070499,0.116369,-0.084572,0.040517,-0.144705,0.00639
1676,1,11/17/15,18:52:03,-0.067135,0.136879,-0.075636,0.039224,-0.143569,0.003937
1677,1,11/17/15,18:52:03,-0.069004,0.14846,-0.090133,0.035715,-0.142067,0.001989
1678,1,11/17/15,18:52:03,-0.067012,0.122182,-0.098607,0.034367,-0.135798,0.000412
1679,1,11/17/15,18:52:03,-0.073084,0.080488,-0.090639,0.030469,-0.12682,-0.003224
1680,1,11/17/15,18:52:03,-0.092562,0.0702,-0.090346,0.029606,-0.120274,-0.007026
1681,1,11/17/15,18:52:03,-0.071178,0.067658,-0.101948,0.029816,-0.112697,-0.004929
1682,1,11/17/15,18:52:03,-0.084311,0.077518,-0.118872,0.029439,-0.104646,-0.002885
1683,1,11/17/15,18:52:03,-0.070191,0.074292,-0.114267,0.028163,-0.098416,-0.001112
1684,1,11/17/15,18:52:03,-0.083476,0.048125,-0.112027,0.024755,-0.088013,0.000596
1685,1,11/17/15,18:52:03,-0.078408,0.040482,-0.097471,0.019369,-0.079638,0.001509
1686,1,11/17/15,18:52:03,-0.069013,0.017832,-0.091792,0.014282,-0.068648,0.004802
1687,1,11/17/15,18:52:03,-0.060661,-0.005581,-0.105184,0.011221,-0.056495,0.006822
1688,1,11/17/15,18:52:03,-0.043724,-0.017479,-0.116089,0.011096,-0.041277,0.008391
1689,1,11/17/15,18:52:03,-0.029284,-0.04144,-0.137946,0.012654,-0.026082,0.012171
1690,1,11/17/15,18:52:03,0.00291,-0.029647,-0.166198,0.012871,-0.009838,0.009188
1691,1,11/17/15,18:52:03,0.006563,-0.015087,-0.183808,0.01267,0.006073,0.011779
1692,1,11/17/15,18:52:03,0.051419,0.003567,-0.159622,0.013612,0.021498,0.013901
1693,1,11/17/15,18:52:03,0.049469,0.023085,-0.156574,0.0134,0.036447,0.010039
1694,1,11/17/15,18:52:03,0.051786,0.0193,-0.166022,0.011762,0.050236,0.010763
1695,1,11/17/15,18:52:03,0.065616,0.004455,-0.1293,0.011731,0.06422,0.011471
1696,1,11/17/15,18:52:03,0.069439,0.007857,-0.107953,0.010477,0.074396,0.009987
1697,1,11/17/15,18:52:03,0.079396,0.00723,-0.120371,0.007998,0.085515,0.008366
1698,1,11/17/15,18:52:03,0.107212,0.031015,-0.081089,0.005981,0.093042,0.008376
1699,1,11/17/15,18:52:03,0.057648,0.038363,-0.023641,0.005308,0.098479,0.008133
1700,1,11/17/15,18:52:03,0.068384,0.041284,0.002987,0.003274,0.101893,0.010392
1701,1,11/17/15,18:52:03,0.095943,0.042473,0.0198,0.00306,0.102946,0.006378
1702,1,11/17/15,18:52:03,0.046397,0.041788,0.021933,0.002504,0.102723,0.005305
1703,1,11/17/15,18:52:03,0.028098,0.024072,0.031794,0.000601,0.104669,0.005019
1704,1,11/17/15,18:52:03,0.042976,0.008298,0.026462,-0.001381,0.102562,0.00367
1705,1,11/17/15,18:52:03,0.020131,-0.001117,-0.001346,-0.002733,0.099429,-0.001383
1706,1,11/17/15,18:52:03,0.012946,-0.016296,0.01803,-0.004023,0.096158,-0.003657
1707,1,11/17/15,18:52:03,0.009197,0.008419,0.039691,-0.006386,0.092279,-0.009164
1708,1,11/17/15,18:52:03,0.011547,0.02372,0.023794,-0.008567,0.087188,-0.011736
1709,1,11/17/15,18:52:03,0.00344,0.04307,0.029677,-0.007959,0.08213,-0.012654
1710,1,11/17/15,18:52:03,0.023069,0.035166,0.058556,-0.006337,0.078293,-0.009894
1711,1,11/17/15,18:52:03,0.029859,0.059489,0.051431,-0.008104,0.074498,-0.011548
1712,1,11/17/15,18:52:03,0.00289,0.092407,0.015403,-0.008976,0.07268,-0.011847
1713,1,11/17/15,18:52:03,0.029976,0.125057,0.015891,-0.009269,0.067,-0.004939
1714,1,11/17/15,18:52:03,-0.007785,0.12563,0.032883,-0.008605,0.061883,-0.002543
1715,1,11/17/15,18:52:03,-0.004753,0.128238,0.079405,-0.010982,0.059438,0.001669
1716,1,11/17/15,18:52:03,-0.017767,0.115505,0.035814,-0.010978,0.059279,0.000578
1717,1,11/17/15,18:52:03,-0.004971,0.107071,0.016999,-0.009089,0.057493,0.001942
1718,1,11/17/15,18:52:03,-0.010651,0.06947,0.045118,-0.01039,0.05534,0.007215
1719,1,11/17/15,18:52:03,-0.015419,0.024829,0.07349,-0.011822,0.05386,0.009628
1720,1,11/17/15,18:52:03,-0.000752,-0.016058,0.030253,-0.009797,0.055593,0.012122
1721,1,11/17/15,18:52:03,-0.012367,-0.040001,0.025869,-0.008449,0.053181,0.00972
1722,1,11/17/15,18:52:03,0.021784,-0.031215,0.037844,-0.008125,0.050585,0.010652
1723,1,11/17/15,18:52:03,0.001632,-0.051545,0.046485,-0.008882,0.047374,0.008366
1724,1,11/17/15,18:52:03,0.025685,-0.018807,0.047587,-0.010378,0.04522,0.002616
1725,1,11/17/15,18:52:03,0.023338,-0.000432,0.07147,-0.0089,0.042381,0.004684
1726,1,11/17/15,18:52:03,0.042478,0.011938,0.070372,-0.008838,0.041441,0.002061
1727,1,11/17/15,18:52:03,0.026966,0.028663,0.064412,-0.009783,0.039917,0.000079
1728,1,11/17/15,18:52:03,0.04527,0.066824,0.057011,-0.012561,0.03988,-0.001577
1729,1,11/17/15,18:52:03,0.011199,0.064436,0.050471,-0.015403,0.040134,-0.004933
1730,1,11/17/15,18:52:03,0.041033,0.065199,0.045695,-0.017089,0.039742,-0.009847
1731,1,11/17/15,18:52:03,0.038306,0.059007,0.053661,-0.016675,0.040633,-0.011647
1732,1,11/17/15,18:52:03,0.056358,0.057603,0.044764,-0.01572,0.041101,-0.016691
1733,1,11/17/15,18:52:03,0.029668,0.053756,0.072155,-0.014355,0.043192,-0.018672
1734,1,11/17/15,18:52:03,0.043255,0.050859,0.073175,-0.013809,0.043011,-0.020308
1735,1,11/17/15,18:52:03,0.031012,0.041741,0.069488,-0.011572,0.042324,-0.022974
1736,1,11/17/15,18:52:03,0.049788,0.012423,0.087243,-0.009261,0.042088,-0.019082
1737,1,11/17/15,18:52:03,0.048556,0.011794,0.08228,-0.010404,0.042489,-0.019156
1738,1,11/17/15,18:52:03,0.054287,0.025503,0.054901,-0.011484,0.042275,-0.01968
1739,1,11/17/15,18:52:03,0.031626,0.020486,0.039296,-0.011348,0.041531,-0.017368
1740,1,11/17/15,18:52:03,0.052223,0.043121,0.05863,-0.013311,0.039253,-0.019785
1741,1,11/17/15,18:52:03,0.046815,0.041919,0.085245,-0.013913,0.039719,-0.019868
1742,1,11/17/15,18:52:03,0.036434,0.03924,0.091484,-0.011135,0.039094,-0.022537
1743,1,11/17/15,18:52:03,0.031614,0.027823,0.099729,-0.011401,0.036554,-0.024369
1744,1,11/17/15,18:52:03,0.021311,0.042061,0.088838,-0.011265,0.035233,-0.025827
1745,1,11/17/15,18:52:03,0.01078,0.055296,0.071884,-0.011663,0.034012,-0.026202
1746,1,11/17/15,18:52:03,-0.006646,0.066499,0.046911,-0.012265,0.034647,-0.025202
1747,1,11/17/15,18:52:03,-0.003805,0.05921,-0.00166,-0.013943,0.035488,-0.022025
1748,1,11/17/15,18:52:03,0.029,0.072503,-0.036654,-0.015498,0.035175,-0.019223
1749,1,11/17/15,18:52:04,0.048156,0.06527,-0.019605,-0.016424,0.038489,-0.018635
1750,1,11/17/15,18:52:04,0.039886,0.072072,-0.031612,-0.017538,0.04341,-0.018297
1751,1,11/17/15,18:52:04,0.04402,0.062579,-0.033633,-0.01831,0.049665,-0.020373
1752,1,11/17/15,18:52:04,0.031628,0.045618,-0.022973,-0.020348,0.057817,-0.019988
1753,1,11/17/15,18:52:04,0.034494,0.038703,-0.038904,-0.020345,0.066625,-0.024128
1754,1,11/17/15,18:52:04,0.037459,0.026064,-0.02736,-0.016297,0.074491,-0.023141
1755,1,11/17/15,18:52:04,-0.015165,0.019502,-0.013482,-0.012848,0.082657,-0.023318
1756,1,11/17/15,18:52:04,-0.012376,0.045714,0.012452,-0.006706,0.086963,-0.021793
1757,1,11/17/15,18:52:04,-0.008789,0.069343,0.052269,-0.002208,0.091497,-0.017531
1758,1,11/17/15,18:52:04,0.012968,0.090867,0.065565,0.000331,0.094172,-0.012982
1759,1,11/17/15,18:52:04,-0.033674,0.102938,0.053856,0.000912,0.098748,-0.012591
1760,1,11/17/15,18:52:04,-0.03654,0.119352,0.066955,0.00239,0.09566,-0.012124
1761,1,11/17/15,18:52:04,-0.045699,0.162407,0.100731,0.001106,0.093046,-0.010068
1762,1,11/17/15,18:52:04,-0.040365,0.156894,0.121464,-0.002341,0.086644,0.001399
1763,1,11/17/15,18:52:04,-0.036582,0.123478,0.153672,-0.005928,0.084599,0.0017
1764,1,11/17/15,18:52:04,0.006107,0.091608,0.13149,-0.010914,0.080224,0.00236
1765,1,11/17/15,18:52:04,-0.008065,0.064854,0.108738,-0.013241,0.076615,0.002351
1766,1,11/17/15,18:52:04,0.060313,0.033003,0.084374,-0.015153,0.074393,0.003783
1767,1,11/17/15,18:52:04,0.046698,0.011083,0.07642,-0.015452,0.071849,0.001962
1768,1,11/17/15,18:52:04,0.050856,-0.022652,0.088746,-0.013827,0.071869,0.000835
1769,1,11/17/15,18:52:04,0.077165,-0.017588,0.066459,-0.011323,0.073702,-0.000022
1770,1,11/17/15,18:52:04,0.052206,-0.033976,0.073179,-0.009829,0.075046,0.000313
1771,1,11/17/15,18:52:04,0.080113,-0.027807,0.058205,-0.006993,0.073865,-0.002276
1772,1,11/17/15,18:52:04,0.042273,-0.020474,0.03936,-0.004958,0.075357,-0.001412
1773,1,11/17/15,18:52:04,0.052133,0.012963,0.026088,-0.001776,0.076611,0.000593
1774,1,11/17/15,18:52:04,0.030328,0.024847,0.023856,-0.001626,0.079714,-0.001005
1775,1,11/17/15,18:52:04,0.027028,0.048717,0.021788,-0.000931,0.083136,-0.001
1776,1,11/17/15,18:52:04,0.004829,0.05385,-0.005428,0.000921,0.086149,-0.000922
1777,1,11/17/15,18:52:04,0.020269,0.050441,-0.007045,-0.000604,0.089597,-0.002569
1778,1,11/17/15,18:52:04,0.019617,0.040391,-0.007611,-0.002193,0.093581,-0.004301
1779,1,11/17/15,18:52:04,0.02886,0.015382,-0.004406,-0.004211,0.096175,-0.007479
1780,1,11/17/15,18:52:04,0.019209,-0.026501,0.001909,-0.004572,0.09896,-0.010683
1781,1,11/17/15,18:52:04,0.035722,-0.021467,0.005407,-0.005081,0.102472,-0.016215
1782,1,11/17/15,18:52:04,0.024227,-0.027831,0.006108,-0.004292,0.104932,-0.018816
1783,1,11/17/15,18:52:04,0.029118,-0.028402,-0.001629,-0.003175,0.109741,-0.017375
1784,1,11/17/15,18:52:04,0.012608,-0.028841,0.024018,-0.004009,0.112438,-0.017263
1785,1,11/17/15,18:52:04,-0.023023,-0.018873,0.022108,0.000282,0.114072,-0.01366
1786,1,11/17/15,18:52:04,-0.032573,0.012721,0.029663,0.004567,0.115621,-0.010587
1787,1,11/17/15,18:52:04,-0.061225,0.048696,0.048681,0.00707,0.114048,-0.00481
1788,1,11/17/15,18:52:04,-0.076935,0.080966,0.048668,0.009364,0.113911,-0.000368
1789,1,11/17/15,18:52:04,-0.093622,0.109873,0.044537,0.009252,0.115406,0.002162
